"시군구명","시간대","분류","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","23","자동차","1559","41706236","20240101"
"창원시 성산구","0","교육","6","627000","20240101"
"창원시 성산구","0","기타","3","554000","20240101"
"창원시 성산구","0","내구재","19","41000","20240101"
"창원시 성산구","0","레포츠/문화/취미","10062","107837590","20240101"
"창원시 성산구","0","서비스","2282","9609500","20240101"
"창원시 성산구","0","식생활","33853","1516032660","20240101"
"창원시 성산구","0","여행","381","21670199","20240101"
"창원시 성산구","0","유통","60322","450831630","20240101"
"창원시 성산구","0","유흥","7136","777927859","20240101"
"창원시 성산구","0","의료/미용","116","11714321","20240101"
"창원시 성산구","0","자동차","2142","44480183","20240101"
"창원시 성산구","1","교육","5","381000","20240101"
"창원시 성산구","1","내구재","33","110210","20240101"
"창원시 성산구","1","레포츠/문화/취미","7024","69552887","20240101"
"창원시 성산구","1","서비스","1752","6891700","20240101"
"창원시 성산구","1","식생활","20677","932200758","20240101"
"창원시 성산구","1","여행","288","15852000","20240101"
"창원시 성산구","1","유통","39297","299722710","20240101"
"창원시 성산구","1","유흥","5888","587001400","20240101"
"창원시 성산구","1","의료/미용","76","9781870","20240101"
"창원시 성산구","1","의생활","3","146000","20240101"
"창원시 성산구","1","자동차","778","14704294","20240101"
"창원시 성산구","2","내구재","25","29840","20240101"
"창원시 성산구","2","레포츠/문화/취미","4569","41848720","20240101"
"창원시 성산구","2","서비스","1195","4467000","20240101"
"창원시 성산구","2","식생활","13219","581521200","20240101"
"창원시 성산구","2","여행","337","18727738","20240101"
"창원시 성산구","2","유통","28823","223926020","20240101"
"창원시 성산구","2","유흥","4313","450072562","20240101"
"창원시 성산구","2","의료/미용","73","4499926","20240101"
"창원시 성산구","2","자동차","303","7620552","20240101"
"창원시 성산구","3","레포츠/문화/취미","2957","26355630","20240101"
"창원시 성산구","3","서비스","711","2939100","20240101"
"창원시 성산구","3","식생활","8225","367155040","20240101"
"창원시 성산구","3","여행","310","17220119","20240101"
"창원시 성산구","3","유통","18052","134641890","20240101"
"창원시 성산구","3","유흥","2521","275951251","20240101"
"창원시 성산구","3","의료/미용","35","3731140","20240101"
"창원시 성산구","3","자동차","215","8873639","20240101"
"창원시 성산구","4","내구재","9","41000","20240101"
"창원시 성산구","4","레포츠/문화/취미","1600","15570200","20240101"
"창원시 성산구","4","서비스","326","1304000","20240101"
"창원시 성산구","4","식생활","5697","261052440","20240101"
"창원시 성산구","4","여행","237","13621000","20240101"
"창원시 성산구","4","유통","13198","98869440","20240101"
"창원시 성산구","4","유흥","1317","161971700","20240101"
"창원시 성산구","4","의료/미용","42","2520320","20240101"
"창원시 성산구","4","자동차","180","13169029","20240101"
"창원시 성산구","5","내구재","4","2390000","20240101"
"창원시 성산구","5","레포츠/문화/취미","886","7787930","20240101"
"창원시 성산구","5","서비스","172","645300","20240101"
"창원시 성산구","5","식생활","3632","161225900","20240101"
"창원시 성산구","5","여행","148","8516000","20240101"
"창원시 성산구","5","유통","17692","131242540","20240101"
"창원시 성산구","5","유흥","845","93116000","20240101"
"창원시 성산구","5","의료/미용","45","1524230","20240101"
"창원시 성산구","5","자동차","1228","81680654","20240101"
"창원시 성산구","6","기타","8","1562000","20240101"
"창원시 성산구","6","레포츠/문화/취미","435","2774500","20240101"
"창원시 성산구","6","서비스","95","373600","20240101"
"창원시 성산구","6","식생활","3176","95134730","20240101"
"창원시 성산구","6","여행","74","4946000","20240101"
"창원시 성산구","6","유통","44844","337413660","20240101"
"창원시 성산구","6","유흥","323","42801200","20240101"
"창원시 성산구","6","의료/미용","139","9562740","20240101"
"창원시 성산구","6","자동차","5305","318536054","20240101"
"창원시 성산구","7","교육","13","3757160","20240101"
"창원시 성산구","7","기타","3","68000","20240101"
"창원시 성산구","7","내구재","3","320","20240101"
"창원시 성산구","7","레포츠/문화/취미","380","2479900","20240101"
"창원시 성산구","7","서비스","44","373200","20240101"
"창원시 성산구","7","식생활","17804","188794751","20240101"
"창원시 성산구","7","여행","53","3475900","20240101"
"창원시 성산구","7","유통","80579","538047547","20240101"
"창원시 성산구","7","유흥","75","7325200","20240101"
"창원시 성산구","7","의료/미용","1474","59261130","20240101"
"창원시 성산구","7","자동차","9154","531511307","20240101"
"창원시 성산구","7","주거생활","3","248600","20240101"
"창원시 성산구","8","교육","47","9453047","20240101"
"창원시 성산구","8","기타","55","6784057","20240101"
"창원시 성산구","8","내구재","117","52880","20240101"
"창원시 성산구","8","레포츠/문화/취미","1101","13235120","20240101"
"창원시 성산구","8","서비스","275","3110310","20240101"
"창원시 성산구","8","식생활","50144","369611731","20240101"
"창원시 성산구","8","여행","96","21961120","20240101"
"창원시 성산구","8","유통","84335","601031392","20240101"
"창원시 성산구","8","유흥","25","1806100","20240101"
"창원시 성산구","8","의료/미용","5797","221719960","20240101"
"창원시 성산구","8","자동차","13137","711598762","20240101"
"창원시 성산구","8","주거생활","6","216900","20240101"
"창원시 성산구","9","교육","438","87248500","20240101"
"창원시 성산구","9","기타","205","14197048","20240101"
"창원시 성산구","9","내구재","117","1227180","20240101"
"창원시 성산구","9","레포츠/문화/취미","4199","76494600","20240101"
"창원시 성산구","9","서비스","2447","125658344","20240101"
"창원시 성산구","9","식생활","73628","691614980","20240101"
"창원시 성산구","9","여행","28","3282890","20240101"
"창원시 성산구","9","유통","89583","917678080","20240101"
"창원시 성산구","9","유흥","15","794400","20240101"
"창원시 성산구","9","의료/미용","65144","2392414033","20240101"
"창원시 성산구","9","의생활","12","1796600","20240101"
"창원시 성산구","9","자동차","16583","902846704","20240101"
"창원시 성산구","9","주거생활","40","989240","20240101"
"창원시 성산구","10","교육","19083","805880283","20240101"
"창원시 성산구","10","기타","626","28668890","20240101"
"창원시 성산구","10","내구재","171","5787340","20240101"
"창원시 성산구","10","레포츠/문화/취미","6533","165991410","20240101"
"창원시 성산구","10","서비스","4162","264869175","20240101"
"창원시 성산구","10","식생활","97110","1110979518","20240101"
"창원시 성산구","10","여행","31","4691760","20240101"
"창원시 성산구","10","유통","120108","2455691618","20240101"
"창원시 성산구","10","유흥","6","369300","20240101"
"창원시 성산구","10","의료/미용","97964","5728461509","20240101"
"창원시 성산구","10","의생활","550","40841020","20240101"
"창원시 성산구","10","자동차","21903","1117917110","20240101"
"창원시 성산구","10","주거생활","40","1878690","20240101"
"창원시 성산구","11","교육","7012","305178201","20240101"
"창원시 성산구","11","기타","629","33148847","20240101"
"창원시 성산구","11","내구재","202","15670985","20240101"
"창원시 성산구","11","레포츠/문화/취미","8725","228903207","20240101"
"창원시 성산구","11","서비스","4217","263890596","20240101"
"창원시 성산구","11","식생활","189425","3234837381","20240101"
"창원시 성산구","11","여행","90","6682280","20240101"
"창원시 성산구","11","유통","163337","4119752168","20240101"
"창원시 성산구","11","유흥","28","2006800","20240101"
"창원시 성산구","11","의료/미용","105304","6369638378","20240101"
"창원시 성산구","11","의생활","2401","187927405","20240101"
"창원시 성산구","11","자동차","24380","1105651388","20240101"
"창원시 성산구","11","주거생활","21","4083500","20240101"
"창원시 성산구","12","교육","4386","198418814","20240101"
"창원시 성산구","12","기타","1129","28947580","20240101"
"창원시 성산구","12","내구재","380","32644370","20240101"
"창원시 성산구","12","레포츠/문화/취미","13649","323939757","20240101"
"창원시 성산구","12","서비스","3947","257652240","20240101"
"창원시 성산구","12","식생활","444345","9022037919","20240101"
"창원시 성산구","12","여행","262","5523430","20240101"
"창원시 성산구","12","유통","246330","5266197485","20240101"
"창원시 성산구","12","유흥","68","1600300","20240101"
"창원시 성산구","12","의료/미용","80206","4686261108","20240101"
"창원시 성산구","12","의생활","4690","316824340","20240101"
"창원시 성산구","12","자동차","28722","1122126165","20240101"
"창원시 성산구","12","주거생활","118","1952090","20240101"
"창원시 성산구","13","교육","5357","303020540","20240101"
"창원시 성산구","13","기타","1026","31027777","20240101"
"창원시 성산구","13","내구재","480","34820780","20240101"
"창원시 성산구","13","레포츠/문화/취미","17907","406106598","20240101"
"창원시 성산구","13","서비스","5901","384293220","20240101"
"창원시 성산구","13","식생활","316437","6622198515","20240101"
"창원시 성산구","13","여행","831","5934020","20240101"
"창원시 성산구","13","유통","194229","5291447519","20240101"
"창원시 성산구","13","유흥","99","1472600","20240101"
"창원시 성산구","13","의료/미용","37802","2543513284","20240101"
"창원시 성산구","13","의생활","7022","457600302","20240101"
"창원시 성산구","13","자동차","29685","1200111277","20240101"
"창원시 성산구","13","주거생활","33","974430","20240101"
"창원시 성산구","14","교육","6698","548509938","20240101"
"창원시 성산구","14","기타","605","27967045","20240101"
"창원시 성산구","14","내구재","509","33939630","20240101"
"창원시 성산구","14","레포츠/문화/취미","21407","499048697","20240101"
"창원시 성산구","14","서비스","6965","519740535","20240101"
