"시군구명","월","분류","성별","연령대","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","2","기타","남성","20대","4","18800","20240101"
"창원시 의창구","2","기타","남성","30대","156","2793350","20240101"
"창원시 의창구","2","기타","남성","40대","314","13265225","20240101"
"창원시 의창구","2","기타","남성","50대","134","16742474","20240101"
"창원시 의창구","2","기타","남성","60대","56","3430980","20240101"
"창원시 의창구","2","기타","남성","70대이상","6","1547700","20240101"
"창원시 의창구","2","기타","여성","20대","3","11530","20240101"
"창원시 의창구","2","기타","여성","30대","201","32028590","20240101"
"창원시 의창구","2","기타","여성","40대","227","15077140","20240101"
"창원시 의창구","2","기타","여성","50대","30","3356270","20240101"
"창원시 의창구","2","기타","여성","60대","3","36200","20240101"
"창원시 의창구","2","내구재","남성","10이하","20","1400","20240101"
"창원시 의창구","2","내구재","남성","20대","434","382060","20240101"
"창원시 의창구","2","내구재","남성","30대","37","740800","20240101"
"창원시 의창구","2","내구재","남성","40대","36","1349310","20240101"
"창원시 의창구","2","내구재","남성","50대","61","3993540","20240101"
"창원시 의창구","2","내구재","남성","60대","36","2850800","20240101"
"창원시 의창구","2","내구재","남성","70대이상","10","71700","20240101"
"창원시 의창구","2","내구재","여성","20대","100","71490","20240101"
"창원시 의창구","2","내구재","여성","30대","25","254420","20240101"
"창원시 의창구","2","내구재","여성","40대","4","1400","20240101"
"창원시 의창구","2","내구재","여성","50대","45","964105","20240101"
"창원시 의창구","2","내구재","여성","60대","10","476410","20240101"
"창원시 의창구","2","레포츠/문화/취미","남성","10이하","338","1451900","20240101"
"창원시 의창구","2","레포츠/문화/취미","남성","20대","8849","52815820","20240101"
"창원시 의창구","2","레포츠/문화/취미","남성","30대","1802","27514450","20240101"
"창원시 의창구","2","레포츠/문화/취미","남성","40대","529","17738602","20240101"
"창원시 의창구","2","레포츠/문화/취미","남성","50대","524","32855696","20240101"
"창원시 의창구","2","레포츠/문화/취미","남성","60대","186","15043540","20240101"
"창원시 의창구","2","레포츠/문화/취미","남성","70대이상","44","3521340","20240101"
"창원시 의창구","2","레포츠/문화/취미","여성","10이하","19","64900","20240101"
"창원시 의창구","2","레포츠/문화/취미","여성","20대","527","3129750","20240101"
"창원시 의창구","2","레포츠/문화/취미","여성","30대","118","4170250","20240101"
"창원시 의창구","2","레포츠/문화/취미","여성","40대","191","5012300","20240101"
"창원시 의창구","2","레포츠/문화/취미","여성","50대","201","6520600","20240101"
"창원시 의창구","2","레포츠/문화/취미","여성","60대","47","2925350","20240101"
"창원시 의창구","2","서비스","남성","10이하","31","87700","20240101"
"창원시 의창구","2","서비스","남성","20대","1120","5215910","20240101"
"창원시 의창구","2","서비스","남성","30대","319","22606350","20240101"
"창원시 의창구","2","서비스","남성","40대","185","2162580","20240101"
"창원시 의창구","2","서비스","남성","50대","87","1346860","20240101"
"창원시 의창구","2","서비스","남성","60대","11","2344500","20240101"
"창원시 의창구","2","서비스","남성","70대이상","20","362000","20240101"
"창원시 의창구","2","서비스","여성","10이하","4","4000","20240101"
"창원시 의창구","2","서비스","여성","20대","127","497305","20240101"
"창원시 의창구","2","서비스","여성","30대","59","346910","20240101"
"창원시 의창구","2","서비스","여성","40대","59","4192080","20240101"
"창원시 의창구","2","서비스","여성","50대","37","5389065","20240101"
"창원시 의창구","2","서비스","여성","60대","12","515800","20240101"
"창원시 의창구","2","식생활","남성","10이하","91","1041850","20240101"
"창원시 의창구","2","식생활","남성","20대","16967","309034411","20240101"
"창원시 의창구","2","식생활","남성","30대","20554","445802126","20240101"
"창원시 의창구","2","식생활","남성","40대","21910","559684941","20240101"
"창원시 의창구","2","식생활","남성","50대","17871","517230918","20240101"
"창원시 의창구","2","식생활","남성","60대","7294","227494180","20240101"
"창원시 의창구","2","식생활","남성","70대이상","1113","38063890","20240101"
"창원시 의창구","2","식생활","여성","10이하","65","473000","20240101"
"창원시 의창구","2","식생활","여성","20대","7000","122117055","20240101"
"창원시 의창구","2","식생활","여성","30대","12514","228104652","20240101"
"창원시 의창구","2","식생활","여성","40대","13192","276228802","20240101"
"창원시 의창구","2","식생활","여성","50대","10743","251992075","20240101"
"창원시 의창구","2","식생활","여성","60대","3671","105801470","20240101"
"창원시 의창구","2","식생활","여성","70대이상","485","14373030","20240101"
"창원시 의창구","2","여행","남성","20대","48","2234000","20240101"
"창원시 의창구","2","여행","남성","30대","155","6069500","20240101"
"창원시 의창구","2","여행","남성","40대","178","8641000","20240101"
"창원시 의창구","2","여행","남성","50대","221","8492000","20240101"
"창원시 의창구","2","여행","남성","60대","98","13233000","20240101"
"창원시 의창구","2","여행","남성","70대이상","15","499000","20240101"
"창원시 의창구","2","여행","여성","20대","12","480000","20240101"
"창원시 의창구","2","여행","여성","30대","62","3767100","20240101"
"창원시 의창구","2","여행","여성","40대","68","3147500","20240101"
"창원시 의창구","2","여행","여성","50대","43","1297000","20240101"
"창원시 의창구","2","여행","여성","60대","11","211000","20240101"
"창원시 의창구","2","유통","남성","10이하","859","3743810","20240101"
"창원시 의창구","2","유통","남성","20대","28883","200101819","20240101"
"창원시 의창구","2","유통","남성","30대","26432","304241280","20240101"
"창원시 의창구","2","유통","남성","40대","25687","401574380","20240101"
"창원시 의창구","2","유통","남성","50대","18381","312773170","20240101"
"창원시 의창구","2","유통","남성","60대","8117","141781090","20240101"
"창원시 의창구","2","유통","남성","70대이상","1454","28201170","20240101"
"창원시 의창구","2","유통","여성","10이하","315","1271810","20240101"
"창원시 의창구","2","유통","여성","20대","7794","65367710","20240101"
"창원시 의창구","2","유통","여성","30대","12716","184308300","20240101"
"창원시 의창구","2","유통","여성","40대","13223","255578410","20240101"
"창원시 의창구","2","유통","여성","50대","10662","235898520","20240101"
"창원시 의창구","2","유통","여성","60대","5335","123698420","20240101"
"창원시 의창구","2","유통","여성","70대이상","895","20842460","20240101"
"창원시 의창구","2","유흥","남성","10이하","24","99700","20240101"
"창원시 의창구","2","유흥","남성","20대","908","10958100","20240101"
"창원시 의창구","2","유흥","남성","30대","164","9933900","20240101"
"창원시 의창구","2","유흥","남성","40대","181","25872900","20240101"
"창원시 의창구","2","유흥","남성","50대","147","22415100","20240101"
"창원시 의창구","2","유흥","남성","60대","52","7370406","20240101"
"창원시 의창구","2","유흥","여성","10이하","6","15000","20240101"
"창원시 의창구","2","유흥","여성","20대","65","1041200","20240101"
"창원시 의창구","2","유흥","여성","30대","24","818900","20240101"
"창원시 의창구","2","유흥","여성","40대","13","887800","20240101"
"창원시 의창구","2","의료/미용","남성","20대","2836","80341610","20240101"
"창원시 의창구","2","의료/미용","남성","30대","6942","284340633","20240101"
"창원시 의창구","2","의료/미용","남성","40대","8026","384168652","20240101"
"창원시 의창구","2","의료/미용","남성","50대","6619","358418475","20240101"
"창원시 의창구","2","의료/미용","남성","60대","4542","200586460","20240101"
"창원시 의창구","2","의료/미용","남성","70대이상","1564","64754180","20240101"
"창원시 의창구","2","의료/미용","여성","10이하","9","205100","20240101"
"창원시 의창구","2","의료/미용","여성","20대","1689","53571290","20240101"
"창원시 의창구","2","의료/미용","여성","30대","6340","262631901","20240101"
"창원시 의창구","2","의료/미용","여성","40대","4940","254198630","20240101"
"창원시 의창구","2","의료/미용","여성","50대","4668","251387475","20240101"
"창원시 의창구","2","의료/미용","여성","60대","2996","149764670","20240101"
"창원시 의창구","2","의료/미용","여성","70대이상","757","32889370","20240101"
"창원시 의창구","2","의생활","남성","30대","3","207600","20240101"
"창원시 의창구","2","의생활","남성","40대","3","550000","20240101"
"창원시 의창구","2","의생활","남성","50대","15","157850","20240101"
"창원시 의창구","2","의생활","남성","60대","10","449300","20240101"
"창원시 의창구","2","의생활","남성","70대이상","3","26500","20240101"
"창원시 의창구","2","의생활","여성","40대","12","1451100","20240101"
"창원시 의창구","2","의생활","여성","50대","36","2266100","20240101"
"창원시 의창구","2","의생활","여성","60대","13","841210","20240101"
"창원시 의창구","2","의생활","여성","70대이상","3","102000","20240101"
"창원시 의창구","2","자동차","남성","10이하","3","58500","20240101"
"창원시 의창구","2","자동차","남성","20대","1761","62704016","20240101"
"창원시 의창구","2","자동차","남성","30대","4878","227716767","20240101"
"창원시 의창구","2","자동차","남성","40대","5967","344893859","20240101"
"창원시 의창구","2","자동차","남성","50대","5251","361857538","20240101"
"창원시 의창구","2","자동차","남성","60대","3175","219146334","20240101"
"창원시 의창구","2","자동차","남성","70대이상","469","34911745","20240101"
"창원시 의창구","2","자동차","여성","20대","669","24090111","20240101"
"창원시 의창구","2","자동차","여성","30대","1780","70272640","20240101"
"창원시 의창구","2","자동차","여성","40대","1847","83292929","20240101"
"창원시 의창구","2","자동차","여성","50대","2067","116422098","20240101"
"창원시 의창구","2","자동차","여성","60대","790","37964822","20240101"
"창원시 의창구","2","자동차","여성","70대이상","45","2102546","20240101"
"창원시 의창구","2","주거생활","남성","20대","9","48220","20240101"
"창원시 의창구","2","주거생활","남성","30대","25","1132730","20240101"
"창원시 의창구","2","주거생활","남성","40대","165","10318231","20240101"
"창원시 의창구","2","주거생활","남성","50대","223","23094683","20240101"
"창원시 의창구","2","주거생활","남성","60대","135","7139710","20240101"
"창원시 의창구","2","주거생활","남성","70대이상","10","168010","20240101"
"창원시 의창구","2","주거생활","여성","30대","4","85500","20240101"
"창원시 의창구","2","주거생활","여성","40대","34","1663380","20240101"
"창원시 의창구","2","주거생활","여성","50대","95","14349981","20240101"
"창원시 의창구","2","주거생활","여성","60대","3","55550","20240101"
"창원시 의창구","3","교육","남성","10이하","3","8000","20240101"
"창원시 의창구","3","교육","남성","20대","229","1734250","20240101"
"창원시 의창구","3","교육","남성","30대","245","9629030","20240101"
"창원시 의창구","3","교육","남성","40대","1023","78660115","20240101"
"창원시 의창구","3","교육","남성","50대","122","7257410","20240101"
"창원시 의창구","3","교육","여성","10이하","3","14500","20240101"
"창원시 의창구","3","교육","여성","20대","13","46650","20240101"
"창원시 의창구","3","교육","여성","30대","362","15475570","20240101"
"창원시 의창구","3","교육","여성","40대","1008","81699070","20240101"
"창원시 의창구","3","교육","여성","50대","58","2021190","20240101"
"창원시 의창구","3","기타","남성","20대","26","194990","20240101"
"창원시 의창구","3","기타","남성","30대","265","4336590","20240101"
"창원시 의창구","3","기타","남성","40대","350","13595186","20240101"
"창원시 의창구","3","기타","남성","50대","137","8183098","20240101"
"창원시 의창구","3","기타","남성","60대","64","2432665","20240101"
"창원시 의창구","3","기타","여성","20대","7","79300","20240101"
"창원시 의창구","3","기타","여성","30대","236","20461960","20240101"
"창원시 의창구","3","기타","여성","40대","225","4913621","20240101"
"창원시 의창구","3","기타","여성","50대","42","1894050","20240101"
"창원시 의창구","3","기타","여성","60대","9","386460","20240101"
"창원시 의창구","3","내구재","남성","10이하","20","8100","20240101"
"창원시 의창구","3","내구재","남성","20대","660","285500","20240101"
"창원시 의창구","3","내구재","남성","30대","53","550840","20240101"
"창원시 의창구","3","내구재","남성","40대","70","2611602","20240101"
"창원시 의창구","3","내구재","남성","50대","55","2822450","20240101"
"창원시 의창구","3","내구재","남성","60대","6","181000","20240101"
"창원시 의창구","3","내구재","남성","70대이상","3","21000","20240101"
"창원시 의창구","3","내구재","여성","10이하","24","11900","20240101"
"창원시 의창구","3","내구재","여성","20대","324","144870","20240101"
"창원시 의창구","3","내구재","여성","30대","15","59700","20240101"
"창원시 의창구","3","내구재","여성","40대","80","261610","20240101"
"창원시 의창구","3","내구재","여성","50대","73","2489530","20240101"
"창원시 의창구","3","내구재","여성","60대","6","519200","20240101"
"창원시 의창구","3","내구재","여성","70대이상","3","63300","20240101"
"창원시 의창구","3","레포츠/문화/취미","남성","10이하","383","1486300","20240101"
"창원시 의창구","3","레포츠/문화/취미","남성","20대","9247","55717070","20240101"
"창원시 의창구","3","레포츠/문화/취미","남성","30대","1892","25267692","20240101"
"창원시 의창구","3","레포츠/문화/취미","남성","40대","584","31849350","20240101"
"창원시 의창구","3","레포츠/문화/취미","남성","50대","759","53962968","20240101"
"창원시 의창구","3","레포츠/문화/취미","남성","60대","274","27176110","20240101"
"창원시 의창구","3","레포츠/문화/취미","남성","70대이상","58","3723790","20240101"
"창원시 의창구","3","레포츠/문화/취미","여성","10이하","24","68200","20240101"
"창원시 의창구","3","레포츠/문화/취미","여성","20대","421","2984420","20240101"
"창원시 의창구","3","레포츠/문화/취미","여성","30대","111","5842750","20240101"
"창원시 의창구","3","레포츠/문화/취미","여성","40대","146","8452660","20240101"
"창원시 의창구","3","레포츠/문화/취미","여성","50대","248","9791135","20240101"
"창원시 의창구","3","레포츠/문화/취미","여성","60대","106","5050600","20240101"
"창원시 의창구","3","레포츠/문화/취미","여성","70대이상","3","46000","20240101"
"창원시 의창구","3","서비스","남성","10이하","9","7600","20240101"
"창원시 의창구","3","서비스","남성","20대","1419","8071887","20240101"
"창원시 의창구","3","서비스","남성","30대","327","4629045","20240101"
"창원시 의창구","3","서비스","남성","40대","248","3464185","20240101"
"창원시 의창구","3","서비스","남성","50대","106","2888560","20240101"
"창원시 의창구","3","서비스","남성","60대","20","440910","20240101"
"창원시 의창구","3","서비스","남성","70대이상","18","312000","20240101"
"창원시 의창구","3","서비스","여성","10이하","3","180","20240101"
"창원시 의창구","3","서비스","여성","20대","169","1079345","20240101"
"창원시 의창구","3","서비스","여성","30대","101","9076800","20240101"
"창원시 의창구","3","서비스","여성","40대","110","3466540","20240101"
"창원시 의창구","3","서비스","여성","50대","109","3670175","20240101"
"창원시 의창구","3","서비스","여성","60대","15","269400","20240101"
"창원시 의창구","3","식생활","남성","10이하","396","3328360","20240101"
"창원시 의창구","3","식생활","남성","20대","23822","401384107","20240101"
"창원시 의창구","3","식생활","남성","30대","24557","523252450","20240101"
"창원시 의창구","3","식생활","남성","40대","25334","600690346","20240101"
"창원시 의창구","3","식생활","남성","50대","20478","567452399","20240101"
"창원시 의창구","3","식생활","남성","60대","8149","252326865","20240101"
"창원시 의창구","3","식생활","남성","70대이상","1330","41686970","20240101"
"창원시 의창구","3","식생활","여성","10이하","266","1915740","20240101"
"창원시 의창구","3","식생활","여성","20대","8251","131438010","20240101"
"창원시 의창구","3","식생활","여성","30대","15072","256275933","20240101"
"창원시 의창구","3","식생활","여성","40대","15781","312684820","20240101"
"창원시 의창구","3","식생활","여성","50대","12631","294132091","20240101"
"창원시 의창구","3","식생활","여성","60대","4187","118898230","20240101"
"창원시 의창구","3","식생활","여성","70대이상","491","16646860","20240101"
"창원시 의창구","3","여행","남성","20대","56","2287400","20240101"
"창원시 의창구","3","여행","남성","30대","92","4189900","20240101"
"창원시 의창구","3","여행","남성","40대","152","7134400","20240101"
"창원시 의창구","3","여행","남성","50대","186","9683000","20240101"
"창원시 의창구","3","여행","남성","60대","71","2088000","20240101"
"창원시 의창구","3","여행","남성","70대이상","21","610000","20240101"
"창원시 의창구","3","여행","여성","20대","3","57000","20240101"
"창원시 의창구","3","여행","여성","30대","37","2791500","20240101"
"창원시 의창구","3","여행","여성","40대","39","1360900","20240101"
"창원시 의창구","3","여행","여성","50대","37","1269900","20240101"
"창원시 의창구","3","여행","여성","60대","12","355000","20240101"
"창원시 의창구","3","유통","남성","10이하","1844","6901970","20240101"
"창원시 의창구","3","유통","남성","20대","40549","259810620","20240101"
"창원시 의창구","3","유통","남성","30대","31768","391395440","20240101"
"창원시 의창구","3","유통","남성","40대","31191","521817790","20240101"
"창원시 의창구","3","유통","남성","50대","22285","373052439","20240101"
"창원시 의창구","3","유통","남성","60대","10064","185329340","20240101"
"창원시 의창구","3","유통","남성","70대이상","1748","37104050","20240101"
"창원시 의창구","3","유통","여성","10이하","936","3392510","20240101"
"창원시 의창구","3","유통","여성","20대","9927","82810110","20240101"
"창원시 의창구","3","유통","여성","30대","15088","234588330","20240101"
"창원시 의창구","3","유통","여성","40대","16654","326134970","20240101"
"창원시 의창구","3","유통","여성","50대","13456","292390044","20240101"
"창원시 의창구","3","유통","여성","60대","6597","153855710","20240101"
"창원시 의창구","3","유통","여성","70대이상","1060","24453480","20240101"
"창원시 의창구","3","유흥","남성","10이하","30","110000","20240101"
"창원시 의창구","3","유흥","남성","20대","1232","14381200","20240101"
"창원시 의창구","3","유흥","남성","30대","188","18004300","20240101"
"창원시 의창구","3","유흥","남성","40대","244","37590000","20240101"
"창원시 의창구","3","유흥","남성","50대","215","38003700","20240101"
"창원시 의창구","3","유흥","남성","60대","57","8431900","20240101"
"창원시 의창구","3","유흥","여성","10이하","14","69000","20240101"
"창원시 의창구","3","유흥","여성","20대","73","1336900","20240101"
"창원시 의창구","3","유흥","여성","30대","33","2468400","20240101"
"창원시 의창구","3","유흥","여성","40대","16","994800","20240101"
"창원시 의창구","3","유흥","여성","50대","3","15000","20240101"
"창원시 의창구","3","의료/미용","남성","10이하","6","23300","20240101"
"창원시 의창구","3","의료/미용","남성","20대","3305","97021520","20240101"
"창원시 의창구","3","의료/미용","남성","30대","8534","342528009","20240101"
"창원시 의창구","3","의료/미용","남성","40대","8740","410793009","20240101"
"창원시 의창구","3","의료/미용","남성","50대","7168","360003190","20240101"
